limitation,papers
null,3
Qualitative single case study limits statistical generalizability across industries and countries.,1
"The case focuses on autonomous shipping which represents an extreme in its extensiveness, limiting transferability to simpler autonomous solutions contexts.",1
"Sample restricted to Spanish industrial SMEs, limiting generalizability to other national contexts.",1
Study does not account for cross-industry heterogeneity beyond the manufacturing versus technical-services distinction.,1
"Hybridization is conceptualized as a dichotomy, not capturing the intensity of hybridization.",1
"Studies may have been excluded due to keyword selection, publication type, and language constraints of the search string.",1
The review focused on how digitalization changes servitization but did not address how servitization influences digitalization.,1
Research gap identification was based on researchers' judgment and may reflect the interest and experience of the research team.,1
Quantitative approaches such as text mining were not used to complement the qualitative content analysis.,1
"Survey was conducted within internal employees not directly with end customers, potentially introducing sample bias.",1
"Sample was limited to two multinational industrial firms using convenience sampling, limiting generalizability.",1
All value aspects were combined into one overall value concept rather than examining correlations between specific entrepreneurial traits and specific value dimensions.,1
The study does not elaborate on how perceived value differs between products and services in the transition from product to service business.,1
Cross-sectional data does not allow for longitudinal heterogeneity analyses of smart product capability development.,1
"As a single case study, the findings aim at theoretical generalization rather than causal construct assertions.",1
"Similar development in other sectors may differ in the magnitude of external forces including politics, technological development, and legislation.",1
"The study is limited to the period 2015-2018 and one focal company, excluding developments after the Kongsberg acquisition.",1
Study focuses on two cases in aerospace and maritime industries; additional tensions may be uncovered in other contexts including SMEs.,1
Data collected from one case firm over a bounded period; longitudinal evolution beyond the study window is not captured.,1
