finding,papers
"Positive consequences of ambivalence: creative resource optimization (cross-functional synergies), reconfiguration of accountability (role redefinition), and proactive decision making (bottom-up initiative).",4
"Ambivalence cascades from the strategic level to tactical and operational levels, multiplying in intensity and scope as it descends through the hierarchy.",4
"Organizational ambivalence manifests at three levels: strategic (opposing business directions), tactical (misaligned processes) and operational (unclear performance scripts).",4
"Performance measurement systems designed for product orientation (unit sales, patents, new customers) persist during servitization and create operational ambivalence by misaligning incentives with service orientation objectives.",4
"Negative consequences of ambivalence: resource inefficiency (dispersed effort), dilution of accountability (diffuse responsibility), and stalled decision making (incompatible decision-support frameworks).",4
Ambivalence is a double-edged sword during servitization: actors' responses can either scatter resources and stifle progress (negative) or spark creativity and resourcefulness (positive) depending on how ambivalence is managed.,4
Cross-functional team structures that integrate product and service knowledge can convert ambivalence into positive outcomes -- exemplified by Provider 2's shared solution development protocol becoming standard practice.,4
Most servitizing manufacturers maintain co-existing product and service orientations for extended periods rather than traversing a unidirectional product-to-service continuum; this co-existence is the primary trigger of organizational ambivalence.,4
"Business models must evolve from integrated/ownership models toward use-oriented and result-oriented models, opening new revenue streams but disrupting traditional up-front sales revenues.",3
null,3
"Digitalization enables agile, continuous, and software-driven innovation but requires recombinative capabilities, data analytics skills, and an improvisational culture that breaks traditional R&D roles.",3
"A revised innovation audit framework with four dimensions (process, resources and capabilities, culture, business model) and trend-specific questions is proposed to help managers navigate the new innovation landscape.",3
"Existing innovation audit frameworks fail to account for openness, servitization, and digitalization, leaving managers unable to proactively respond to these transformative trends.",3
"Servitization shifts innovation resources and capabilities requirements toward network capabilities, value co-creation, and ICT skills, while demanding a customer-centric rather than product-centric culture.",3
"Innovation auditing in the new landscape requires a more holistic, outward-focused, learning-oriented approach rather than purely quantitative benchmarking against reference scores.",3
"Open innovation transforms the innovation process by requiring inbound spin-in and outbound spin-out activities, co-creation with customers, and use of innovation intermediaries alongside the traditional stage-gate process.",3
"Seven key service adjustments confirmed across eight confirmatory cases (4 truck manufacturers, 2 bus manufacturers, 2 tractor manufacturers); only one exception (Chinese manufacturer lacked product life extension evidence)",2
"In technologically turbulent environments (e.g. EVs), manufacturers are less likely to collaborate with external service providers, consistent with Heirati et al. (2024)",2
Commercial vehicle manufacturers selectively adapt and extend ecosystem partnerships rather than creating wholly new ecosystems; different service types require different partner adaptation strategies,2
Service adjustments occur in parallel for both new electric vehicles and existing combustion vehicles; manufacturers must evolve services across both product lines simultaneously,2
Eco-friendly product innovations primarily require increased service sophistication rather than expanded service scope; scope expansion is limited to charging infrastructure services,2
"Share of service revenue projected to grow from 20-25% (2018) to 30-50% by 2030, driven by EV service adjustments and growth in EV sales share",2
Eco-friendly product innovations do not accelerate transition toward outcome-based or sharing business models; manufacturers maintain focus on traditional basic and financially-structured service models,2
Seven key service adjustments identified: (1) increasing sophistication of basic services to secure profit pools for EVs; (2) extending scope of basic services with product life extension services for CTs; (3) increasing sophistication of financial services to facilitate ET purchase; (4) increasing sophistication of fleet management services for ETs; (5) extending scope of fleet management with fuel optimization for CTs; (6) increasing sophistication of connectivity services for both ETs and CTs; (7) extending scope through new charging infrastructure services,2
"Most service adjustments are implemented through temporary cross-functional teams embedded within existing organizational units, not through structural separation or new permanent entities",2
Only charging infrastructure services required creation of a new organizational structure (joint venture with competitor),2
RRM's acquisition by Kongsberg in 2018 marked the end of the study period but demonstrated that its legacy in autonomous shipping continues through a new organizational form.,1
"Empirical studies comprise approximately 77% of the sample, with case study methodology dominant, reflecting the emerging and qualitative nature of digital servitization research.",1
A culture of sharing between competing actors was a necessary precondition for the maritime stakeholder system to progress towards autonomous solutions.,1
"The focal DS actor must engage as a driver, facilitating complementors to initiate their own parallel DS processes, while also participating in stakeholder system formation and society-level change.",1
